,title + dj,set_title,set_list,artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size,total plays,,,missing songs
121069," - Łukasz Tomaszewski, ¡MASH-UP!, Siriusmo, Lionza, Michael Mayer - COSMO Selektor 2542"," - Łukasz Tomaszewski, ¡MASH-UP!, Siriusmo, Lionza, Michael Mayer - COSMO Selektor",Chassol - The Big Sun,Chassol,The Big Sun,The Big Sun (Introïde),00TnSlh2PWHJq2O7z1ODKk,https://p.scdn.co/mp3-preview/b07ed600ba2b8d5eaf6cc4a2716b6f6fdb316104?cid=461b02dc885841c0a798981c336f46f0,The Big Sun, Siriusmo,2542,167,2,9,2542 167,No,Yes
121067," - Łukasz Tomaszewski, ¡MASH-UP!, Siriusmo, Lionza, Michael Mayer - COSMO Selektor 3047"," - Łukasz Tomaszewski, ¡MASH-UP!, Siriusmo, Lionza, Michael Mayer - COSMO Selektor",Chassol - The Big Sun,Chassol,The Big Sun,The Big Sun (Introïde),00TnSlh2PWHJq2O7z1ODKk,https://p.scdn.co/mp3-preview/b07ed600ba2b8d5eaf6cc4a2716b6f6fdb316104?cid=461b02dc885841c0a798981c336f46f0,The Big Sun,Łukasz Tomaszewski,3047,167,2,9,3047 167,No,Yes
121066," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor 1012"," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor",Chassol - The Big Sun,Chassol,The Big Sun,The Big Sun (Introïde),00TnSlh2PWHJq2O7z1ODKk,https://p.scdn.co/mp3-preview/b07ed600ba2b8d5eaf6cc4a2716b6f6fdb316104?cid=461b02dc885841c0a798981c336f46f0,The Big Sun, Feathericci,1012,167,1,9,1012 167,No,Yes
121064," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor 1133"," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor",Chassol - The Big Sun,Chassol,The Big Sun,The Big Sun (Introïde),00TnSlh2PWHJq2O7z1ODKk,https://p.scdn.co/mp3-preview/b07ed600ba2b8d5eaf6cc4a2716b6f6fdb316104?cid=461b02dc885841c0a798981c336f46f0,The Big Sun, Gebrüder Teichmann,1133,167,1,9,1133 167,No,Yes
121065," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor 2542"," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor",Chassol - The Big Sun,Chassol,The Big Sun,The Big Sun (Introïde),00TnSlh2PWHJq2O7z1ODKk,https://p.scdn.co/mp3-preview/b07ed600ba2b8d5eaf6cc4a2716b6f6fdb316104?cid=461b02dc885841c0a798981c336f46f0,The Big Sun, Siriusmo,2542,167,2,9,2542 167,No,Yes
121063," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor 3047"," - Łukasz Tomaszewski, Gebrüder Teichmann, Siriusmo, Feathericci - COSMO Selektor",Chassol - The Big Sun,Chassol,The Big Sun,The Big Sun (Introïde),00TnSlh2PWHJq2O7z1ODKk,https://p.scdn.co/mp3-preview/b07ed600ba2b8d5eaf6cc4a2716b6f6fdb316104?cid=461b02dc885841c0a798981c336f46f0,The Big Sun,Łukasz Tomaszewski,3047,167,2,9,3047 167,No,Yes
190423," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2122"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, Omo Frenchie,2122,13465,4,17,2122 13465,No,Yes
190427," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2122"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, Omo Frenchie,2122,13465,4,17,2122 13465,No,Yes
190431," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2122"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, Omo Frenchie,2122,13465,4,17,2122 13465,No,Yes
190435," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor 2122"," - Łukasz Tomaszewski, Ahadadream, Omo Frenchie, SAMA' & Patrice - COSMO Selektor",Yotam Avni - Track For Agoria,Yotam Avni,Track For Agoria,Track for Agoria,12XNpgJJVY12EHg4Z0DstQ,https://p.scdn.co/mp3-preview/1c635049b64673ba0e6829478290644b87c08908?cid=461b02dc885841c0a798981c336f46f0,Track For Agoria, Omo Frenchie,2122,13465,4,17,2122 13465,No,Yes
