,title + dj,set_title,set_list,artist,song,spotify_song_name,spotify_id,preview,songs,set_title_split,dj_id,song_id,size,total plays,,In input,in og set
118814," - Pete Tong, &ME - Essential Selection 4"," - Pete Tong, &ME - Essential Selection",Four Tet - SW9 9SL,Four Tet,SW9 9SL,SW9 9SL,2xN54cw14BBwQVCzQS2izH,https://p.scdn.co/mp3-preview/ec178ffad3dceab98ba2ed0e040290123a0a6702?cid=461b02dc885841c0a798981c336f46f0,SW9 9SL, &ME,4,37549,1,2,4 37549,No,Yes
118818," - Pete Tong, &ME - Essential Selection 4"," - Pete Tong, &ME - Essential Selection",Copenema - Te Faz Bem,Copenema,Te Faz Bem,Te Faz Bem,3eWfM11LyOKKQM0469rXmz,https://p.scdn.co/mp3-preview/3002873c836c779bc61e043129be859a367232a4?cid=461b02dc885841c0a798981c336f46f0,Te Faz Bem, &ME,4,42641,1,3,4 42641,No,Yes
118816," - Pete Tong, &ME - Essential Selection 4"," - Pete Tong, &ME - Essential Selection",Elderbrook - Woman (Kaz James Remix),Elderbrook,Woman (Kaz James Remix),Woman - Kaz James Remix,2Ws7ZsatSTbHc16BnJ39wW,https://p.scdn.co/mp3-preview/d738f17dccad5a6fe9a6c46e8f4745afb5e61e7c?cid=461b02dc885841c0a798981c336f46f0,Woman (Kaz James Remix), &ME,4,37210,1,2,4 37210,No,Yes
185809," - Oliver Heldens, David Guetta, Don Diablo, 2Elements - Big City Beats, KroneHit 10"," - Oliver Heldens, David Guetta, Don Diablo, 2Elements - Big City Beats, KroneHit",Glen Horsborough - You Don't Know (Richard Earnshaw Revision),Glen Horsborough,You Don't Know (Richard Earnshaw Revision),You Don't Know - Richard Earnshaw Revision,2wxdz7XqDjpiRwt7KzwzZA,https://p.scdn.co/mp3-preview/d265415cfb485795f31f51fb0f4f1486060bcdf3?cid=461b02dc885841c0a798981c336f46f0,You Don't Know (Richard Earnshaw Revision), 2Elements,10,37273,1,4,10 37273,No,Yes
42448," - Markus Schulz, 4 Strings - Global DJ Broadcast 11"," - Markus Schulz, 4 Strings - Global DJ Broadcast",Airwave - The Quest For Beauty [Bonzai Progressive],Airwave,The Quest For Beauty [Bonzai Progressive],The Quest For Beauty - Jam El Mar Remix,7vzeydiixslFaLZaDZXChg,https://p.scdn.co/mp3-preview/f8065dc10f90771c3eb7418cd3babbc492a8e9c6?cid=461b02dc885841c0a798981c336f46f0,The Quest For Beauty [Bonzai Progressive], 4 Strings,11,98314,1,3,11 98314,No,Yes
109242," - Armin van Buuren, 4 Strings (Live PA) - A State Of Trance 820 12"," - Armin van Buuren, 4 Strings (Live PA) - A State Of Trance 820", Andrew Henry - Hermos [Magic Island], Andrew Henry,Hermos [Magic Island],Hermos,3AjVJrDctD0QRpvj5ITXB7,https://p.scdn.co/mp3-preview/e244eb42da90c835602648824e07fb820b321e83?cid=461b02dc885841c0a798981c336f46f0,Hermos [Magic Island], 4 Strings (Live PA),12,40823,1,3,12 40823,No,Yes
109236," - Armin van Buuren, 4 Strings (Live PA) - A State Of Trance 820 12"," - Armin van Buuren, 4 Strings (Live PA) - A State Of Trance 820", Mino Safy - Nightfall [A State Of Trance], Mino Safy,Nightfall [A State Of Trance],Nightfall (ASOT 820),2mmV2QDpkXHpMiPKOhOrOW,https://p.scdn.co/mp3-preview/6d511edddd09d21bf845daca0d24a099a95355d5?cid=461b02dc885841c0a798981c336f46f0,Nightfall [A State Of Trance], 4 Strings (Live PA),12,33088,1,2,12 33088,No,Yes
109248," - Armin van Buuren, 4 Strings (Live PA) - A State Of Trance 820 12"," - Armin van Buuren, 4 Strings (Live PA) - A State Of Trance 820", Unbeat - Promise Me (Allen Watts Remix) [Extrema Global Music], Unbeat,Promise Me (Allen Watts Remix) [Extrema Global Music],Promise Me - Allen Watts Remix Radio Edit,2DkarmUmBTZ6mxfNtMq7b6,https://p.scdn.co/mp3-preview/f44f15e98fd34d6abc76eff0f0644c0bfe49de52?cid=461b02dc885841c0a798981c336f46f0,Promise Me (Allen Watts Remix) [Extrema Global Music], 4 Strings (Live PA),12,29293,1,3,12 29293,No,Yes
51764," - J. Albert, 45 ACP - Solid Steel 13"," - J. Albert, 45 ACP - Solid Steel",Bookworms - Illusion Flip,Bookworms,Illusion Flip,Illusion Flip,1si3iXYiRZJ26xrNgefhPv,https://p.scdn.co/mp3-preview/bfb56d2c6f5ab2c8c92fc4a43b6e973f19902392?cid=461b02dc885841c0a798981c336f46f0,Illusion Flip, 45 ACP,13,22523,1,2,13 22523,No,Yes
27768," - J. Albert, 45 ACP - Solid Steel 13"," - J. Albert, 45 ACP - Solid Steel",Orson - Production House,Orson,Production House,Production House,3UqxeBCr1uzqujLLGDmL2D,https://p.scdn.co/mp3-preview/81a58ab8259c166d7f937a75eecfd877a193372a?cid=461b02dc885841c0a798981c336f46f0,Production House, 45 ACP,13,49033,1,3,13 49033,No,Yes
